DATE,TWO_HOURS_INTERVAL_TWELVE_HOURS_FORMAT,INDEXED_DAY,LMS_SESSION_COUNT
2021-02-13,  10 AM,Sat,1617
2021-02-13, 12 PM,Sat,1720
2021-02-13,02 PM,Sat,1627
2021-02-13,04 PM,Sat,1455
2021-02-13,06 PM,Sat,1401
2021-02-13,08 PM,Sat,1038
2021-02-13,10 PM,Sat,454
2021-02-14,   12 AM,      Sun,192
2021-02-14,  02 AM,      Sun,139
2021-02-14,  04 AM,      Sun,331
2021-02-14,  06 AM,      Sun,929
2021-02-14,  08 AM,      Sun,1745
2021-02-14,  10 AM,      Sun,2429
2021-02-14, 12 PM,      Sun,2688
2021-02-14,02 PM,      Sun,2737
2021-02-14,04 PM,      Sun,2967
2021-02-14,06 PM,      Sun,3250
2021-02-14,08 PM,      Sun,2294
2021-02-14,10 PM,      Sun,657
2021-02-15,   12 AM,     Mon,178
2021-02-15,  02 AM,     Mon,193
2021-02-15,  04 AM,     Mon,720
2021-02-15,  06 AM,     Mon,2808
2021-02-15,  08 AM,     Mon,3506
2021-02-15,  10 AM,     Mon,3422
2021-02-15, 12 PM,     Mon,2735
2021-02-15,02 PM,     Mon,2329
2021-02-15,04 PM,     Mon,2387
2021-02-15,06 PM,     Mon,2347
2021-02-15,08 PM,     Mon,1546
2021-02-15,10 PM,     Mon,514
2021-02-16,   12 AM,    Tue,188
2021-02-16,  02 AM,    Tue,181
2021-02-16,  04 AM,    Tue,621
2021-02-16,  06 AM,    Tue,2404
2021-02-16,  08 AM,    Tue,3087
2021-02-16,  10 AM,    Tue,3059
2021-02-16, 12 PM,    Tue,2490
2021-02-16,02 PM,    Tue,2197
2021-02-16,04 PM,    Tue,2208
2021-02-16,06 PM,    Tue,2037
2021-02-16,08 PM,    Tue,1323
2021-02-16,10 PM,    Tue,467
2021-02-17,   12 AM,   Wed,183
2021-02-17,  02 AM,   Wed,169
2021-02-17,  04 AM,   Wed,667
2021-02-17,  06 AM,   Wed,2504
2021-02-17,  08 AM,   Wed,3281
2021-02-17,  10 AM,   Wed,3094
2021-02-17, 12 PM,   Wed,2499
2021-02-17,02 PM,   Wed,2052
2021-02-17,04 PM,   Wed,2060
2021-02-17,06 PM,   Wed,2075
2021-02-17,08 PM,   Wed,1324
2021-02-17,10 PM,   Wed,445
2021-02-18,   12 AM,  Thu,208
2021-02-18,  02 AM,  Thu,206
2021-02-18,  04 AM,  Thu,671
2021-02-18,  06 AM,  Thu,2136
2021-02-18,  08 AM,  Thu,2806
2021-02-18,  10 AM,  Thu,2816
2021-02-18, 12 PM,  Thu,2366
2021-02-18,02 PM,  Thu,2030
2021-02-18,04 PM,  Thu,2092
2021-02-18,06 PM,  Thu,2071
2021-02-18,08 PM,  Thu,1274
2021-02-18,10 PM,  Thu,492
2021-02-19,   12 AM, Fri,233
2021-02-19,  02 AM, Fri,174
2021-02-19,  04 AM, Fri,575
2021-02-19,  06 AM, Fri,2074
2021-02-19,  08 AM, Fri,2716
2021-02-19,  10 AM, Fri,2588
